CovidDate,StateCode
1/22/2020,AL
1/22/2020,AK
1/22/2020,AZ
1/22/2020,AR
1/22/2020,CA
1/22/2020,CO
1/22/2020,CT
1/22/2020,DE
1/22/2020,DC
1/22/2020,FL
1/22/2020,GA
1/22/2020,HI
1/22/2020,ID
1/22/2020,IL
1/22/2020,IN
1/22/2020,IA
1/22/2020,KS
1/22/2020,KY
1/22/2020,LA
1/22/2020,ME
1/22/2020,MD
1/22/2020,MA
1/22/2020,MI
1/22/2020,MN
1/22/2020,MS
1/22/2020,MO
1/22/2020,MT
1/22/2020,NE
1/22/2020,NV
1/22/2020,NH
1/22/2020,NJ
1/22/2020,NM
1/22/2020,NY
1/22/2020,NC
1/22/2020,ND
1/22/2020,OH
1/22/2020,OK
1/22/2020,OR
1/22/2020,PA
1/22/2020,RI
1/22/2020,SC
1/22/2020,SD
1/22/2020,TN
1/22/2020,TX
1/22/2020,UT
1/22/2020,VT
1/22/2020,VA
1/22/2020,WA
1/22/2020,WV
1/22/2020,WI
1/22/2020,WY
1/23/2020,AL
1/23/2020,AK
1/23/2020,AZ
1/23/2020,AR
1/23/2020,CA
1/23/2020,CO
1/23/2020,CT
1/23/2020,DE
1/23/2020,DC
1/23/2020,FL
1/23/2020,GA
1/23/2020,HI
1/23/2020,ID
1/23/2020,IL
1/23/2020,IN
1/23/2020,IA
1/23/2020,KS
1/23/2020,KY
1/23/2020,LA
1/23/2020,ME
1/23/2020,MD
1/23/2020,MA
1/23/2020,MI
1/23/2020,MN
1/23/2020,MS
1/23/2020,MO
1/23/2020,MT
1/23/2020,NE
1/23/2020,NV
1/23/2020,NH
1/23/2020,NJ
1/23/2020,NM
1/23/2020,NY
1/23/2020,NC
1/23/2020,ND
1/23/2020,OH
1/23/2020,OK
1/23/2020,OR
1/23/2020,PA
1/23/2020,RI
1/23/2020,SC
1/23/2020,SD
1/23/2020,TN
1/23/2020,TX
1/23/2020,UT
1/23/2020,VT
1/23/2020,VA
1/23/2020,WA
1/23/2020,WV
1/23/2020,WI
1/23/2020,WY
1/24/2020,AL
1/24/2020,AK
1/24/2020,AZ
1/24/2020,AR
1/24/2020,CA
1/24/2020,CO
1/24/2020,CT
1/24/2020,DE
1/24/2020,DC
1/24/2020,FL
1/24/2020,GA
1/24/2020,HI
1/24/2020,ID
1/24/2020,IL
1/24/2020,IN
1/24/2020,IA
1/24/2020,KS
1/24/2020,KY
1/24/2020,LA
1/24/2020,ME
1/24/2020,MD
1/24/2020,MA
1/24/2020,MI
1/24/2020,MN
1/24/2020,MS
1/24/2020,MO
1/24/2020,MT
1/24/2020,NE
1/24/2020,NV
1/24/2020,NH
1/24/2020,NJ
1/24/2020,NM
1/24/2020,NY
1/24/2020,NC
1/24/2020,ND
1/24/2020,OH
1/24/2020,OK
1/24/2020,OR
1/24/2020,PA
1/24/2020,RI
1/24/2020,SC
1/24/2020,SD
1/24/2020,TN
1/24/2020,TX
1/24/2020,UT
1/24/2020,VT
1/24/2020,VA
1/24/2020,WA
1/24/2020,WV
1/24/2020,WI
1/24/2020,WY
1/25/2020,AL
1/25/2020,AK
1/25/2020,AZ
1/25/2020,AR
1/25/2020,CA
1/25/2020,CO
1/25/2020,CT
1/25/2020,DE
1/25/2020,DC
1/25/2020,FL
1/25/2020,GA
1/25/2020,HI
1/25/2020,ID
1/25/2020,IL
1/25/2020,IN
1/25/2020,IA
1/25/2020,KS
1/25/2020,KY
1/25/2020,LA
1/25/2020,ME
1/25/2020,MD
1/25/2020,MA
1/25/2020,MI
1/25/2020,MN
1/25/2020,MS
1/25/2020,MO
1/25/2020,MT
1/25/2020,NE
1/25/2020,NV
1/25/2020,NH
1/25/2020,NJ
1/25/2020,NM
1/25/2020,NY
1/25/2020,NC
1/25/2020,ND
1/25/2020,OH
1/25/2020,OK
1/25/2020,OR
1/25/2020,PA
1/25/2020,RI
1/25/2020,SC
1/25/2020,SD
1/25/2020,TN
1/25/2020,TX
1/25/2020,UT
1/25/2020,VT
1/25/2020,VA
1/25/2020,WA
1/25/2020,WV
1/25/2020,WI
1/25/2020,WY
1/26/2020,AL
1/26/2020,AK
1/26/2020,AZ
1/26/2020,AR
1/26/2020,CA
1/26/2020,CO
1/26/2020,CT
1/26/2020,DE
1/26/2020,DC
1/26/2020,FL
1/26/2020,GA
1/26/2020,HI
1/26/2020,ID
